Date,Open,High,Low,Close,Volume
01-January-2018,755.757019,782.5300293,742.0040283,772.6409912,2595760128
02-January-2018,772.3460083,914.8300171,772.3460083,884.4439697,5783349760
03-January-2018,886,974.4710083,868.4509888,962.7199707,5093159936
04-January-2018,961.7130127,1045.079956,946.0859985,980.9219971,6502859776
05-January-2018,975.75,1075.390015,956.3250122,997.7199707,6683149824
06-January-2018,995.1539917,1060.709961,994.6220093,1041.680054,4662219776
07-January-2018,1043.01001,1153.170044,1043.01001,1153.170044,5569880064
08-January-2018,1158.26001,1266.930054,1016.049988,1148.530029,8450970112
09-January-2018,1146,1320.97998,1145.48999,1299.73999,7965459968
10-January-2018,1300.339966,1417.380005,1226.599976,1255.819946,9214950400
11-January-2018,1268.089966,1337.300049,1135.170044,1154.930054,7235899904
12-January-2018,1158.290039,1296.040039,1120.089966,1273.199951,5222300160
13-January-2018,1270.469971,1432.880005,1270.469971,1396.420044,5746760192
14-January-2018,1397.47998,1400.560059,1286.209961,1366.77002,4841630208
15-January-2018,1365.209961,1390.589966,1290.599976,1291.920044,4781100032
16-January-2018,1292.630005,1292.630005,875.5449829,1053.689941,8405139968
17-January-2018,1061.339966,1090.22998,780.9219971,1014.25,8545160192
18-January-2018,1016.440002,1100.310059,967.7589722,1036.280029,5938319872
19-January-2018,1028.819946,1093.219971,1003.710022,1039.099976,4084450048
20-January-2018,1044.949951,1167.109985,1044.949951,1155.150024,3975190016
21-January-2018,1155.680054,1155.680054,1021.5,1049.579956,3378089984
22-January-2018,1055.349976,1089.099976,930.7410278,1003.26001,3810099968
23-January-2018,1004.169983,1023.22998,920.539978,986.2290039,3556699904
24-January-2018,987.4769897,1062.439941,965.8079834,1058.780029,3944039936
25-January-2018,1063.219971,1104.660034,1034.73999,1056.030029,4050190080
26-January-2018,1052.699951,1080.599976,996.7839966,1055.170044,3617690112
27-January-2018,1055.75,1121.97998,1042.119995,1107.069946,3002870016
28-January-2018,1111.780029,1257.77002,1111.780029,1246.01001,5372329984
29-January-2018,1246.699951,1256.699951,1169.079956,1182.359985,3715079936
30-January-2018,1184.130005,1184.630005,1058.969971,1071.130005,4107859968
31-January-2018,1071.089966,1128.660034,1034.5,1118.310059,3757560064
01-February-2018,1119.369995,1161.349976,984.8189697,1036.790039,5261680128
02-February-2018,1035.77002,1035.77002,757.9799805,915.7849731,6713290240
03-February-2018,919.2109985,991.9429932,847.6900024,964.0189819,3243480064
04-February-2018,964.6669922,969.0319824,805.0640259,834.6820068,2997090048
05-February-2018,834.9580078,856.6459961,644.598999,697.9509888,4269530112
06-February-2018,707.7369995,796.4390259,574.4190063,793.1220093,6518269952
07-February-2018,790.4279785,851.2000122,723.4329834,757.0679932,3896179968
08-February-2018,755.8430176,845.0859985,755.8430176,817.8070068,3708189952
09-February-2018,818.4799805,884.0040283,788.8339844,883.8649902,2495820032
10-February-2018,882.46698,917.4000244,825.5770264,860.414978,2930530048
11-February-2018,859.2880249,859.2880249,788.2219849,814.6599731,2486650112
12-February-2018,817.5079956,875.9370117,817.5079956,868.7069702,2243450112
13-February-2018,869.2930298,870.7089844,828.8369751,845.2579956,2081170048
14-February-2018,844.2789917,926.4290161,844.2789917,923.5609741,2818370048
15-February-2018,923.7280273,951.947998,911.1110229,936.9760132,2900100096
16-February-2018,934.7860107,950.0050049,917.8480225,944.210022,2369449984
17-February-2018,944.7479858,976.5949707,940.7540283,974.1149902,2525720064
18-February-2018,973.348999,982.9329834,915.4450073,923.9210205,2567290112
19-February-2018,921.6680298,957.7769775,921.5540161,943.8649902,2169019904
20-February-2018,943.5670166,965.2650146,892.9539795,895.3709717,2545260032
21-February-2018,894.1350098,912.375,830.5629883,849.9710083,2531729920
22-February-2018,849.2620239,875.9260254,802.6680298,812.8449707,2150370048
23-February-2018,811.585022,886.3179932,794.7910156,864.1890259,2334820096
24-February-2018,861.5930176,879.5310059,818.5499878,840.5150146,1926579968
25-February-2018,839.4589844,853.1459961,822.3809814,844.8099976,1646960000
26-February-2018,845.2780151,880.3920288,842.3189697,869.3150024,2044480000
27-February-2018,870.3649902,896.2589722,867.0969849,878.2650146,2053980032
28-February-2018,877.934021,890.1079712,855.1240234,855.1989746,1963980032
01-March-2018,856.0120239,880.302002,851.9199829,872.2000122,1868519936
02-March-2018,871.7639771,876.3779907,852.4219971,856.8530273,1894419968
03-March-2018,856.7109985,868.4539795,855.2069702,857.2249756,1699369984
04-March-2018,856.1859741,867.9500122,840.2800293,866.6779785,1697939968
05-March-2018,866.8460083,869.9199829,853.5200195,853.684021,1898489984
06-March-2018,853.8170166,853.8170166,809.9310303,816.9509888,1943069952
07-March-2018,816.2709961,825.6069946,726.5469971,752.8309937,2175419904
08-March-2018,752.5700073,773.7670288,696.1690063,704.5960083,1891640064
09-March-2018,702.1970215,729.1560059,648.1069946,728.9160156,2233019904
10-March-2018,730.1599731,748.0310059,682.6950073,686.8900146,1532960000
11-March-2018,685.3120117,735.8309937,668.1229858,723.3389893,1562680064
12-March-2018,724.4060059,742.5139771,683.2680054,699.8309937,1764999936
13-March-2018,698.1530151,713.7349854,682.3499756,690.8270264,1425959936
14-March-2018,691.2189941,702.7839966,594.0999756,614.2910156,1810560000
15-March-2018,614.8389893,620.6160278,579.5050049,611.3040161,1770460032
16-March-2018,611.7780151,623.1680298,587.8619995,601.6660156,1417350016
17-March-2018,601.6779785,609.151001,549.0960083,552.7789917,1267810048
18-March-2018,551.6400146,551.6400146,460.0880127,538.6439819,2685499904
19-March-2018,546.6259766,558.0999756,519.1229858,556.7260132,2046790016
20-March-2018,556.7219849,567.0900269,521.2039795,557.1749878,1833680000
21-March-2018,559.0999756,589.6069946,550.5720215,561.7319946,1781270016
22-March-2018,562.1030273,577.565979,523.0889893,539.7020264,1523459968
23-March-2018,539.8640137,540.4869995,512.1270142,539.6190186,1596349952
24-March-2018,542.5720215,545.382019,526.0800171,526.4390259,1300009984
25-March-2018,522.7030029,535.8209839,515.6589966,524.2869873,1151170048
26-March-2018,524.2869873,526.3790283,470.4400024,489.9509888,1638880000
27-March-2018,489.5899963,491.4590149,449.9710083,450.1159973,1617939968
28-March-2018,450.2909851,466.2109985,444.8609924,446.2789917,1514179968
29-March-2018,448.0750122,450.8129883,385.8129883,385.9679871,1970230016
30-March-2018,385.9049988,409.9289856,368.6329956,394.644989,1878130048
31-March-2018,395.0039978,418.4679871,392.9530029,396.4570007,1323920000
01-April-2018,397.2539978,400.5280151,363.8049927,379.6069946,1256930048
02-April-2018,379.6990051,395.17099,377.5929871,386.4249878,1102259968
03-April-2018,387.3120117,418.9679871,383.5320129,416.8930054,1363399936
04-April-2018,416.4849854,417.4719849,375.3099976,380.5429993,1287730048
05-April-2018,379.946991,387.7160034,369.8160095,383.2319946,1210680064
06-April-2018,382.7309875,385.1950073,366.9110107,370.2850037,967105984
07-April-2018,370.3800049,393.0589905,369.9360046,385.3139954,951475008
08-April-2018,385.7430115,402.5899963,385.6019897,400.5079956,948488000
09-April-2018,400.8569946,429.2510071,390.6099854,398.526001,1478390016
10-April-2018,399.4110107,415.8880005,393.8789978,414.2430115,1196000000
11-April-2018,415.0239868,430.5400085,412.4710083,430.5400085,1439040000
12-April-2018,430.1610107,493.0580139,417.4129944,492.9410095,2519360000
13-April-2018,493.1600037,526.4699707,482.6589966,492.7349854,2419249920
14-April-2018,492.5799866,512.0239868,488.2789917,501.4779968,1519079936
15-April-2018,502.8800049,531.7020264,502.8800049,531.7020264,1726089984
16-April-2018,532.0739746,534.1970215,500.25,511.1470032,1758979968
17-April-2018,511.144989,518.0310059,502.5639954,502.8940125,1760359936
18-April-2018,503.3089905,525.09198,503.0450134,524.7890015,1762940032
19-April-2018,524.0380249,567.8889771,523.2620239,567.8889771,2256869888
20-April-2018,567.9890137,618.7150269,560.28302,615.7180176,2849469952
21-April-2018,616.0040283,621.8880005,578.5499878,605.3950195,2612460032
22-April-2018,606.1190186,640.7670288,593.8690186,621.8599854,2426269952
23-April-2018,621.1989746,646.7000122,621.0349731,642.5479736,2386830080
24-April-2018,643.3980103,708.875,643.3980103,708.15802,3581860096
25-April-2018,707.0620117,707.0620117,600.2119751,615.4160156,4216140032
26-April-2018,618.0789795,663.1810303,604.007019,662.809021,2984009984
27-April-2018,662.1090088,684.867981,647.0319824,647.0319824,2598129920
28-April-2018,644.6459961,691.4420166,644.6459961,683.6779785,2496659968
29-April-2018,683.9119873,697.7559814,670.5130005,688.8809814,2740559872
30-April-2018,689.7609863,694.4390259,666.1170044,669.9240112,2853100032
01-May-2018,670.4630127,674.4030151,637.539978,673.6129761,2678960128
02-May-2018,674.0750122,688.84198,667.4199829,687.1489868,2822269952
03-May-2018,686.5910034,784.3410034,686.5910034,779.5430298,4210939904
04-May-2018,776.7750244,803.7459717,762.632019,785.6240234,3533410048
05-May-2018,784.5830078,827.4550171,784.2369995,816.1199951,3035040000
06-May-2018,816.0880127,835.0570068,764.8829956,792.3109741,3105570048
07-May-2018,793.3389893,795.7579956,710.1779785,753.7249756,4316120064
08-May-2018,755.0089722,774.2490234,728.1290283,752.8569946,2920489984
09-May-2018,752.9019775,759.5289917,718.4719849,752.2750244,2877870080
10-May-2018,752.5789795,766.7479858,726.6640015,727.2769775,2748950016
11-May-2018,727.0130005,736.9769897,669.8250122,679.5859985,3290080000
12-May-2018,679.8770142,691.4110107,644.065979,686.0479736,2668480000
13-May-2018,687.1749878,741.3120117,675.3189697,733.4959717,2362500096
14-May-2018,732.7329712,742.1699829,695.7919922,730.5490112,3005110016
15-May-2018,731.1430054,739.052002,700.9949951,708.8709717,2523069952
16-May-2018,708.0869751,710.2000122,682.5410156,707.0499878,2476130048
17-May-2018,708.7180176,718.8330078,668.8339844,672.6569824,2350619904
18-May-2018,672.1019897,695.0310059,663.809021,694.3670044,2305740032
19-May-2018,695.0720215,715.5780029,686.7910156,696.5300293,2021549952
20-May-2018,697.9229736,723.7529907,692.6690063,715.3690186,2156910080
21-May-2018,717.1929932,719.2780151,692.4940186,699.2219849,2005170048
22-May-2018,700.1779785,700.9760132,644.026001,647.7410278,2230469888
23-May-2018,646.6699829,651.6359863,572.9520264,583.585022,2995429888
24-May-2018,584.5360107,610.8179932,557.2059937,601.7550049,2791099904
25-May-2018,602.1400146,617.1859741,575.6240234,586.7340088,2110919936
26-May-2018,587.4260254,606.1749878,583.5120239,587.2800293,1694300032
27-May-2018,588.5200195,590.3280029,562.8660278,572.6680298,1788790016
28-May-2018,573.0449829,576.0490112,512.552002,516.0360107,2356900096
29-May-2018,516.1480103,572.2639771,516.1480103,565.3880005,2330820096
30-May-2018,566.8300171,583.1359863,545.4310303,559.5900269,2053970048
31-May-2018,558.4970093,585.5380249,557.065979,577.6450195,1985040000
01-June-2018,578.6719971,589.0930176,567.664978,580.0430298,1945890048
02-June-2018,580.4290161,597.0770264,577.3220215,591.8079834,1880390016
03-June-2018,591.2589722,624.5130005,591.2589722,618.3289795,1832550016
04-June-2018,619.4370117,623.4290161,583.7470093,592.9849854,1903430016
05-June-2018,593.4060059,611.3300171,580.9819946,609.3029785,1844269952
06-June-2018,610.2620239,611.6430054,596.3959961,607.1240234,1756530048
07-June-2018,607.6870117,616.1439819,601.6929932,605.1870117,1880140032
08-June-2018,605.4429932,608.8109741,595.5930176,601.0770264,1637779968
09-June-2018,600.9050293,608.5830078,597.5620117,597.5620117,1519309952
10-June-2018,594.3449707,594.3449707,511.8890076,526.4790039,2234880000
11-June-2018,524.8569946,536.8579712,515.2689819,533.2839966,1982119936
12-June-2018,532.710022,538.9550171,491.2349854,496.8429871,1932760064
13-June-2018,498.0180054,501.9049988,459.0039978,477.493988,2080130048
14-June-2018,478.381012,523.5449829,467.4660034,519.7420044,2458650112
15-June-2018,520.4799805,521.3049927,487.4689941,491.0039978,1808269952
16-June-2018,490.4140015,503.2229919,488.8510132,499.6419983,1314109952
17-June-2018,499.4599915,507.6409912,498.6480103,500.447998,1264870016
18-June-2018,499.3829956,521.7960205,494.0660095,518.8909912,1513869952
19-June-2018,519.0230103,542.3530273,516.3120117,537.9569702,1726569984
20-June-2018,538.5059814,541.0150146,519.3690186,536.2680054,1596290048
21-June-2018,536.4470215,543.71698,524.2589722,527.3670044,1462070016
22-June-2018,527.1939697,527.1939697,456.8770142,465.8169861,2226030080
23-June-2018,466.2739868,479.1289978,462.3930054,474.519989,1651379968
24-June-2018,474.7680054,475.3590088,426.4689941,457.6719971,2490579968
25-June-2018,455.9360046,470.3439941,448.8959961,460.3099976,4007950080
26-June-2018,460.7330017,461.2130127,432.7720032,432.7720032,1356560000
27-June-2018,432.243988,444.2430115,424.8389893,442.3649902,1368940032
28-June-2018,442.2900085,443.6180115,419.6830139,422.3649902,1360790016
29-June-2018,422.5870056,441.7929993,407.946991,436.0090027,1564499968
30-June-2018,436.2090149,458.7969971,436.2090149,455.1799927,1475939968
01-July-2018,455.2420044,457.1390076,446.3850098,453.9179993,1511730048
02-July-2018,453.8240051,479.1300049,447.1109924,475.3469849,1625789952
03-July-2018,475.3859863,483.8540039,462.5820007,464.1950073,1683939968
04-July-2018,464.151001,481.4360046,455.1849976,467.3179932,1549769984
05-July-2018,467.2869873,483.2250061,464.6289978,474.4119873,1828610048
06-July-2018,474.3569946,479.6520081,457.6149902,474.0119934,1627609984
07-July-2018,474.0570068,491.6600037,466.8359985,491.6600037,1358360064
08-July-2018,492.0679932,503.1990051,488.4169922,489.118988,1344560000
09-July-2018,488.8779907,490.8519897,475.1749878,476.6820068,1533799936
10-July-2018,476.1619873,478.3179932,433.9599915,434.4240112,1789069952
11-July-2018,434.5150146,447.3160095,429.5069885,446.5180054,1422470016
12-July-2018,446.5020142,446.5020142,422.8099976,430.0740051,1495440000
13-July-2018,430.7409973,442.3630066,430.7409973,434.0270081,1489670016
14-July-2018,434.5109863,439.4339905,431.473999,436.0859985,1235820032
15-July-2018,435.8829956,454.0010071,433.92099,449.8500061,1350160000
16-July-2018,450.4249878,480.6579895,446.7980042,480.6579895,1858680064
17-July-2018,480.0769958,508.7799988,468.9150085,501.0020142,2288100096
18-July-2018,500.8380127,513.4329834,474.3590088,480.5130005,2371559936
19-July-2018,480.6279907,483.2399902,465.1419983,469.618988,2068739968
20-July-2018,469.3070068,469.3070068,443.6929932,450.697998,1821350016
21-July-2018,450.6789856,468.0830078,445.776001,462.4360046,1504310016
22-July-2018,462.4379883,470.8980103,458.118988,459.6570129,1338589952
23-July-2018,459.4389954,469.7659912,449.7279968,450.8529968,1596999936
24-July-2018,451.1359863,481.1419983,450.5650024,479.3729858,2287520000
25-July-2018,479.9060059,482.8680115,466.473999,472.4930115,1930780032
26-July-2018,472.3309937,483.6960144,461.4240112,464.0369873,1621560064
27-July-2018,464.0090027,473.2219849,458.2909851,469.6659851,1734259968
28-July-2018,469.678009,471.5939941,462.9890137,466.8980103,1531890048
29-July-2018,466.9150085,470.3559875,462.7120056,466.6650085,1631910016
30-July-2018,466.8269958,467.9519958,448.6409912,457.0809937,2141590000
31-July-2018,457.2449951,457.2449951,430.4440002,433.8670044,1820680000
01-August-2018,433.868988,435.4570007,410.4639893,420.7470093,1888060000
02-August-2018,420.8059998,425.0339966,410.3089905,412.6210022,1569300000
03-August-2018,412.5669861,420.5490112,399.9100037,418.2619934,1722340000
04-August-2018,418.2369995,420.1860046,403.776001,407.2520142,1466540000
05-August-2018,407.3460083,413.7160034,402.4320068,410.5159912,1396820000
06-August-2018,410.5669861,414.5400085,403.3150024,406.6579895,1384880000
07-August-2018,406.8009949,411.4049988,376.0769958,380.2149963,1828350000
08-August-2018,379.8919983,380.67099,353.7340088,356.6130066,2016080000
09-August-2018,356.9710083,370.9460144,353.6140137,365.5880127,1616610000
10-August-2018,365.776001,367.0450134,329.5859985,334.1759949,1699400000
11-August-2018,334.2640076,334.2640076,308.4880066,322.1119995,1790370000
12-August-2018,320.822998,328.5899963,318.6019897,319.5700073,1625420000
13-August-2018,320.2099915,323.5509949,284.9339905,286.4949951,1751190000
14-August-2018,286.3649902,286.3649902,254.6499939,278.9320068,2137850000
15-August-2018,280.3869934,303.5899963,280.118988,282.3640137,1878150000
16-August-2018,282.7409973,298.4760132,280.928009,288.04599,1552970000
17-August-2018,287.6830139,316.1700134,287.3460083,315.7290039,1995460000
18-August-2018,316.7909851,320.4460144,286.5509949,295.8120117,1764020000
19-August-2018,295.6700134,307.0979919,291.3320007,300.8340149,1447910000
20-August-2018,301.381012,304.3720093,273.5109863,274.3150024,1413790000
21-August-2018,273.3309937,285.9700012,273.3309937,281.9440002,1164120000
22-August-2018,281.9679871,297.4859924,264.9979858,271.3410034,1507660000
23-August-2018,271.7479858,279.54599,271.0899963,277.1040039,1271160000
24-August-2018,278.1109924,283.302002,273.8599854,282.9670105,1450170000
25-August-2018,283.2810059,283.5150146,278.4710083,279.6459961,1208360000
26-August-2018,279.5249939,279.5249939,272.4440002,275.196991,1206650000
27-August-2018,275.3500061,285.6029968,273.6499939,285.6029968,1406790000
28-August-2018,286.6489868,297.3999939,283.571991,296.4989929,1513350000
29-August-2018,296.1629944,297.0710144,287.2869873,289.3120117,1474460000
30-August-2018,289.7529907,291.2430115,275.2109985,284.105011,1513100000
31-August-2018,284.1199951,284.5509949,278.5130005,283.0039978,1411910000
01-September-2018,283.4960022,301.1440125,283.4960022,295.3410034,1546630000
02-September-2018,295.4530029,298.6860046,290.9259949,294.3710022,1321050000
03-September-2018,295.1809998,295.5910034,287.4320068,289.2590027,1394490000
04-September-2018,289.2969971,291.5799866,284.2550049,285.7229919,1554870000
05-September-2018,286.0450134,288.1629944,232.3309937,232.3309937,2390390000
06-September-2018,231.647995,231.7550049,218.1230011,230.2149963,2097310000
07-September-2018,229.5350037,233.8959961,217.0749969,217.2030029,1678260000
08-September-2018,217.9120026,220.3670044,193.2590027,197.951004,1517200000
09-September-2018,198.3849945,207.6660004,188.3059998,196.923996,1585980000
10-September-2018,197.8509979,201.8829956,189.5839996,197.0789948,1502960000
11-September-2018,198.177002,198.5059967,180.595993,185.0659943,1568900000
12-September-2018,185.4230042,185.5870056,170.2570038,183.3309937,1874850000
13-September-2018,183.6790009,214.0019989,183.6790009,211.3540039,2330720000
14-September-2018,212.6690063,222.7940063,204.8710022,211.7489929,2232190000
15-September-2018,209.8139954,226.6040039,209.6060028,223.0740051,1670490000
16-September-2018,222.8029938,222.8029938,211.1179962,220.5890045,1502260000
17-September-2018,221.5820007,224.2610016,195.3079987,197.875,2019910000
18-September-2018,197.0950012,213.3569946,195.9340057,209.9750061,1800640000
19-September-2018,209.4720001,213.8710022,201.6560059,209.9689941,1733330000
20-September-2018,210.2879944,224.8179932,207.7890015,224.5910034,1782070000
21-September-2018,225.2510071,248.3880005,221.5670013,246.5839996,2836200000
22-September-2018,247.3370056,251.1959991,233.8099976,240.4799957,1921820000
23-September-2018,240.9920044,247.4640045,237.8569946,244.3300018,1693470000
24-September-2018,244.8439941,245.1080017,227.4900055,228.7299957,1748740000
25-September-2018,228.3269958,228.3269958,206.4900055,218.5050049,2120360000
26-September-2018,218.6470032,221.4369965,209.1130066,215.8470001,1756100000
27-September-2018,215.4400024,230.6069946,212.654007,228.4940033,2030320000
28-September-2018,229.0410004,231.7480011,218.6690063,222.4019928,2018120000
29-September-2018,221.7050018,234.0140076,216.0780029,231.6349945,2208720000
30-September-2018,231.3289948,236.9859924,228.4450073,232.8480072,1765560000
01-October-2018,233.2200012,234.1450043,226.9450073,230.7680054,1597500000
02-October-2018,231.1000061,231.1670074,225.8379974,227.1809998,1542080000
03-October-2018,226.4069977,226.4579926,213.970993,220.4889984,1683930000
04-October-2018,220.4459991,226.147995,220.0899963,222.2180023,1479500000
05-October-2018,222.2669983,228.3190002,220.9570007,227.6009979,1547330000
06-October-2018,227.552002,227.9259949,224.2460022,225.1199951,1505070000
07-October-2018,225.4349976,226.3699951,222.9960022,226.1190033,1470480000
08-October-2018,226.5090027,230.7649994,224.5570068,229.2550049,1470740000
09-October-2018,229.7100067,230.1609955,226.401001,227.9819946,1405130000
10-October-2018,227.6150055,227.7070007,224.4949951,225.7689972,1384040000
11-October-2018,225.6100006,225.6100006,189.2830048,189.4989929,2167620000
12-October-2018,188.7070007,199.401001,188.7070007,196.727005,1487900000
13-October-2018,196.3639984,201.279007,196.3639984,199.8410034,1167610000
14-October-2018,199.6909943,201.8269958,195.2429962,195.7149963,1169260000
15-October-2018,195.2700043,222.1179962,194.1589966,209.7039948,2865830000
16-October-2018,209.628006,212.1730042,207.9839935,210.1199951,1532280000
17-October-2018,210.2169952,211.125,205.9279938,207.0829926,1444130000
18-October-2018,207.404007,208.4700012,201.7429962,203.352005,1365860000
19-October-2018,203.2570038,204.6629944,201.8439941,203.727005,1264480000
20-October-2018,203.5149994,206.2220001,203.0850067,205.4299927,1238780000
21-October-2018,205.3899994,208.1549988,204.6210022,205.1419983,1190300000
22-October-2018,205.173996,206.9320068,203.3769989,204.0440063,1328980000
23-October-2018,204.0160065,205.151001,201.9109955,204.3359985,1237490000
24-October-2018,204.1269989,205.5809937,203.3540039,203.852005,1102220000
25-October-2018,203.8679962,204.1320038,201.822998,202.7189941,1102900000
26-October-2018,202.3359985,204.7799988,201.5509949,203.3289948,1161310000
27-October-2018,203.3560028,206.0820007,203.1260071,204.2100067,1084810000
28-October-2018,204.5099945,205.9190063,203.522995,205.3659973,1139140000
29-October-2018,205.173996,205.5970001,195.7339935,197.246994,1517230000
30-October-2018,197.2030029,198.121994,196.3509979,197.5559998,1363500000
31-October-2018,197.6490021,198.3379974,196.5310059,197.3809967,1442380000
01-November-2018,197.5370026,203.7539978,197.3280029,198.871994,1336700000
02-November-2018,198.9819946,201.2689972,198.7550049,200.6349945,1451870000
03-November-2018,200.7400055,200.7400055,199.5249939,200.1860046,1307150000
04-November-2018,200.1580048,211.2720032,198.9859924,207.4859924,1749300000
05-November-2018,207.1000061,210.8190002,206.572998,209.0910034,1613510000
06-November-2018,209.473999,218.4519958,207.8939972,218.4519958,1856940000
07-November-2018,218.8990021,221.6519928,216.7960052,217.1829987,1927830000
