Date,Open,High,Low,Close,Volume
01-January-2018,2.296020031,2.391030073,2.148969889,2.391030073,1894230016
02-January-2018,2.369479895,2.489190102,2.24793005,2.480900049,3171010048
03-January-2018,2.464099884,3.279380083,2.443150043,3.105370045,6635879936
04-January-2018,3.117340088,3.841939926,3.117340088,3.196630001,8103660032
05-January-2018,3.300810099,3.564680099,2.825609922,3.048710108,6288500224
06-January-2018,3.021049976,3.236560106,2.989919901,3.09397006,2777560064
07-January-2018,3.092959881,3.48725009,3.083820105,3.377810001,2395150080
08-January-2018,3.363569975,3.363569975,2.065520048,2.456209898,3315259904
09-January-2018,2.443459988,2.52895999,1.980659962,2.101779938,3694700032
10-January-2018,2.129909992,2.158869982,1.695189953,1.974920034,4833639936
11-January-2018,1.980209947,2.248980045,1.615270019,1.950799942,6296119808
12-January-2018,1.940479994,2.156820059,1.86729002,2.043230057,3330810112
13-January-2018,2.05140996,2.118700027,1.98202002,2.021349907,2130169984
14-January-2018,2.018520117,2.018520117,1.811840057,1.861189961,1978200064
15-January-2018,1.856250048,1.900810003,1.665289998,1.676730037,1838460032
16-January-2018,1.678359985,1.701380014,0.909313023,1.179239988,5687960064
17-January-2018,1.183680058,1.376729965,0.897796988,1.306339979,7251210240
18-January-2018,1.30558002,1.73318994,1.256049991,1.596580029,9110439936
19-January-2018,1.58217001,1.702139974,1.501340032,1.552049994,3697430016
20-January-2018,1.562839985,1.628329992,1.502740026,1.578619957,2346449920
21-January-2018,1.576230049,1.576230049,1.343029976,1.38004005,2840750080
22-January-2018,1.391610026,1.428410053,1.163079977,1.357349992,2642510080
23-January-2018,1.353189945,1.434720039,1.204259992,1.337069988,2977080064
24-January-2018,1.352120042,1.424960017,1.30783999,1.357149959,1853440000
25-January-2018,1.363250017,1.384840012,1.292870045,1.312229991,986067968
26-January-2018,1.308920026,1.326020002,1.13499999,1.217270017,2037570048
27-January-2018,1.217890024,1.239480019,1.189440012,1.219110012,689100992
28-January-2018,1.223889947,1.438120008,1.223889947,1.399600029,1327360000
29-January-2018,1.399209976,1.405249953,1.299129963,1.32396996,1073680000
30-January-2018,1.328179955,1.328179955,1.13112998,1.138560057,1134640000
31-January-2018,1.130660057,1.190930009,1.036610007,1.162389994,1264029952
01-February-2018,1.16087997,1.16260004,0.93037802,0.962530017,1410419968
02-February-2018,0.96064198,0.96064198,0.635185003,0.884783983,3529760000
03-February-2018,0.891991973,0.974798977,0.761635005,0.924043,1988960000
04-February-2018,0.913417995,0.952947021,0.796820998,0.815702975,1190960000
05-February-2018,0.825942993,0.833866,0.675827026,0.691798985,1286179968
06-February-2018,0.705120981,0.786004007,0.588360012,0.776392996,2361139968
07-February-2018,0.774576008,0.805477977,0.706950009,0.723895013,1133369984
08-February-2018,0.729251981,0.80697,0.72261101,0.805262983,947315008
09-February-2018,0.797140002,0.954428017,0.771539986,0.954428017,1690339968
10-February-2018,0.947251022,1.300590038,0.947251022,1.070739985,4682010112
11-February-2018,1.067330003,1.075099945,0.929767013,1.004160047,2555310080
12-February-2018,1.006500006,1.106729984,1.006500006,1.081009984,1756290048
13-February-2018,1.079740047,1.082929969,1.014709949,1.02741003,921100032
14-February-2018,1.026080012,1.165099978,1.021289945,1.14162004,1457600000
15-February-2018,1.139050007,1.16395998,1.111469984,1.146860003,1188530048
16-February-2018,1.144940019,1.151839972,1.112609982,1.138030052,568339008
17-February-2018,1.137429953,1.217589974,1.13251996,1.204980016,1186729984
18-February-2018,1.204779983,1.207340002,1.093359947,1.120460033,1113650048
19-February-2018,1.123149991,1.166429996,1.120970011,1.144420028,556304000
20-February-2018,1.144549966,1.174479961,1.083649993,1.089460015,806673024
21-February-2018,1.081990004,1.095880032,0.998880982,1.015390038,871526016
22-February-2018,1.01225996,1.047320008,0.922457993,0.941788018,889707008
23-February-2018,0.934176028,1.027209997,0.898285985,0.998854995,896403968
24-February-2018,0.997659028,1.013939977,0.929455996,0.95440203,489920000
25-February-2018,0.951977015,0.967597008,0.915278971,0.943486989,360271008
26-February-2018,0.943704009,0.970906019,0.913402975,0.956858993,458612992
27-February-2018,0.959302008,0.972580016,0.944976985,0.947305024,312712992
28-February-2018,0.944697022,0.955550015,0.903787017,0.904582977,329529984
01-March-2018,0.904130995,0.953796029,0.890630007,0.928346992,475256992
02-March-2018,0.926638007,0.933911979,0.902285993,0.910143971,271036000
03-March-2018,0.908785999,0.926512003,0.903603971,0.907804012,280852992
04-March-2018,0.906008005,1.026309967,0.895618021,1.005540013,797225984
05-March-2018,1.014289975,1.08020997,0.956116021,0.95936799,1706819968
06-March-2018,0.954447985,0.991306007,0.916863024,0.922887027,875180032
07-March-2018,0.924377978,0.930658996,0.824895024,0.871209979,809598016
08-March-2018,0.872507989,0.888562024,0.825387001,0.825856984,499496000
09-March-2018,0.826121986,0.856181979,0.75148499,0.849761009,989203008
10-March-2018,0.854871988,0.860442996,0.793735981,0.796626985,402670016
11-March-2018,0.795764983,0.840407014,0.775736988,0.831121981,472972000
12-March-2018,0.832126975,0.838328004,0.78788197,0.801047981,355031008
13-March-2018,0.798451006,0.805728972,0.778470993,0.789710999,279679008
14-March-2018,0.78956902,0.799080014,0.676010013,0.701901972,479148992
15-March-2018,0.702912986,0.730673015,0.643845022,0.697269022,888345024
16-March-2018,0.699063003,0.711780012,0.674462974,0.689260006,502740000
17-March-2018,0.687744975,0.689433992,0.626708984,0.637856007,319824000
18-March-2018,0.634465992,0.677591026,0.548815012,0.658776999,923606016
19-March-2018,0.672125995,0.749080002,0.640012026,0.749080002,1096930048
20-March-2018,0.736759007,0.736759007,0.673426986,0.709807992,814275968
21-March-2018,0.713055015,0.720610023,0.679162025,0.693664014,527324000
22-March-2018,0.693144977,0.701350987,0.636740983,0.662742972,449041984
23-March-2018,0.663110971,0.663110971,0.625258029,0.643173993,387164000
24-March-2018,0.646214008,0.679607987,0.640515983,0.641264975,390740000
25-March-2018,0.638631999,0.657212973,0.631901026,0.641875029,229352000
26-March-2018,0.642683029,0.644120991,0.585922003,0.599462986,384504992
27-March-2018,0.599026024,0.60433197,0.565132022,0.57791698,351380992
28-March-2018,0.577511013,0.594022989,0.572827995,0.578001976,258298000
29-March-2018,0.577767015,0.578639984,0.511511028,0.511511028,420550016
30-March-2018,0.513267994,0.531275988,0.484362006,0.509564996,518219008
31-March-2018,0.510617018,0.529406011,0.505167007,0.512353003,293208000
01-April-2018,0.513854027,0.515437007,0.466223001,0.485080987,297868992
02-April-2018,0.486066997,0.510446012,0.478596002,0.500688016,262342000
03-April-2018,0.501532972,0.562698007,0.499657989,0.558044016,578238976
04-April-2018,0.554569006,0.563117027,0.498486996,0.501631021,415257984
05-April-2018,0.501950026,0.505882025,0.484490007,0.495801002,358755008
06-April-2018,0.494780988,0.498089999,0.465615004,0.476431012,218156000
07-April-2018,0.476850986,0.495667011,0.474575013,0.487866998,209076000
08-April-2018,0.48822701,0.501417994,0.487590998,0.50039798,137548000
09-April-2018,0.501200974,0.512142003,0.482573003,0.491854995,271775008
10-April-2018,0.492134005,0.493645012,0.482838988,0.491930991,154495008
11-April-2018,0.492567986,0.548455,0.48902601,0.539506018,341707008
12-April-2018,0.53865701,0.644518018,0.506542981,0.628736973,1346739968
13-April-2018,0.630092978,0.693112016,0.605816007,0.638086975,1245170048
14-April-2018,0.637380004,0.661508024,0.61630702,0.632184029,626268032
15-April-2018,0.634882987,0.682533979,0.634142995,0.682533979,609636992
16-April-2018,0.682295978,0.687165022,0.638610005,0.663296998,531996000
17-April-2018,0.664889991,0.677356005,0.654345989,0.65693301,442352992
18-April-2018,0.65705198,0.72142601,0.65705198,0.708931983,624049024
19-April-2018,0.712059021,0.791975975,0.706840992,0.791975975,878328000
20-April-2018,0.791172028,0.938354015,0.791172028,0.924465001,2344069888
21-April-2018,0.925020993,0.925020993,0.82111299,0.873103023,1563970048
22-April-2018,0.866819978,0.911900997,0.848091006,0.869994998,946398976
23-April-2018,0.866577983,0.886290014,0.863304019,0.876657009,674545024
24-April-2018,0.876012027,0.965610027,0.873565972,0.934781015,1572930048
25-April-2018,0.932771027,0.932771027,0.779231012,0.800607026,1614050048
26-April-2018,0.801774025,0.852414012,0.771786988,0.852414012,1028590016
27-April-2018,0.851139009,0.859641016,0.813884974,0.813884974,673793024
28-April-2018,0.812062979,0.887591004,0.812062979,0.863803983,788718976
29-April-2018,0.864399016,0.904945016,0.834479988,0.872777998,896313984
30-April-2018,0.871403992,0.87678802,0.831207991,0.837938011,575363968
01-May-2018,0.838355005,0.84206897,0.797825992,0.841407001,630809024
02-May-2018,0.839354992,0.864279985,0.831713021,0.859094024,544425984
03-May-2018,0.85898,0.892916024,0.847319007,0.884465992,725228992
04-May-2018,0.881536007,0.927694976,0.866922021,0.895442009,1007609984
05-May-2018,0.895561993,0.922353983,0.895561993,0.905103028,668800000
06-May-2018,0.904235005,0.918675005,0.855971992,0.871424019,640057024
07-May-2018,0.871213973,0.871236026,0.812933028,0.832641006,602534976
08-May-2018,0.833086014,0.846992016,0.803568006,0.813970029,465040992
09-May-2018,0.813392997,0.819968998,0.770299971,0.802043021,611574976
10-May-2018,0.803211987,0.808914006,0.757341981,0.758237004,399324000
11-May-2018,0.756578028,0.761326015,0.656026006,0.684948027,991409024
12-May-2018,0.685772002,0.714918017,0.639770985,0.696735024,596684992
13-May-2018,0.69808501,0.758976996,0.680971026,0.745747983,532488000
14-May-2018,0.744701028,0.756982982,0.707692981,0.740898013,613462016
15-May-2018,0.738937974,0.75226903,0.692667007,0.698588014,422980000
16-May-2018,0.695919991,0.714080989,0.669438004,0.714080989,429641984
17-May-2018,0.713388026,0.714618027,0.661212981,0.667309999,337999008
18-May-2018,0.665400028,0.685625017,0.65338999,0.680293977,344944000
19-May-2018,0.680759013,0.690450013,0.665895998,0.67671299,249039008
20-May-2018,0.677258015,0.704613984,0.67334801,0.700244009,275614016
21-May-2018,0.700441003,0.703050971,0.676203012,0.681586981,250480992
22-May-2018,0.68215102,0.682932973,0.644587994,0.645567,234712992
23-May-2018,0.648634017,0.649120986,0.586996973,0.599593997,482480992
24-May-2018,0.599206984,0.640258014,0.589272022,0.631996989,440532992
25-May-2018,0.63292402,0.636207998,0.60333401,0.611001015,289816000
26-May-2018,0.610117972,0.62649399,0.603799999,0.612707973,213242000
27-May-2018,0.612039983,0.612883985,0.60332799,0.60788101,186963008
28-May-2018,0.60836798,0.609781027,0.552299023,0.552299023,327903008
29-May-2018,0.556083977,0.610749006,0.551635027,0.601240993,380744000
30-May-2018,0.603769004,0.62767899,0.590058029,0.60581702,320604992
31-May-2018,0.603452027,0.621635973,0.596089005,0.612622023,283328000
01-June-2018,0.612892985,0.624823987,0.60906899,0.623363972,263088000
02-June-2018,0.623462021,0.648981988,0.619476974,0.643450975,315206016
03-June-2018,0.643411994,0.673593998,0.640891016,0.671204984,327804000
04-June-2018,0.692466021,0.703622997,0.644603014,0.661424994,558131008
05-June-2018,0.661898017,0.683839977,0.641427994,0.677015007,386328000
06-June-2018,0.67790103,0.681667984,0.660058975,0.674796999,273966016
07-June-2018,0.675312996,0.688223004,0.673146009,0.678128004,244568000
08-June-2018,0.677586019,0.679668009,0.660803974,0.67434299,221887008
09-June-2018,0.674777985,0.67889303,0.659754992,0.659754992,175990000
10-June-2018,0.65951401,0.65951401,0.561236978,0.588126004,492555008
11-June-2018,0.586197972,0.604066014,0.568720996,0.604066014,336547008
12-June-2018,0.602136016,0.602138996,0.556653023,0.562933028,309544000
13-June-2018,0.562844992,0.564642012,0.517036021,0.534663022,359864992
14-June-2018,0.535435021,0.570590019,0.52661401,0.561306,379824992
15-June-2018,0.560061991,0.560061991,0.534300983,0.537706971,241684992
16-June-2018,0.537105978,0.539292991,0.523588002,0.534784019,202682000
17-June-2018,0.535535991,0.538881004,0.52521503,0.528216004,166028000
18-June-2018,0.528819978,0.547793984,0.511833012,0.537495017,276527008
19-June-2018,0.538613975,0.558058977,0.534595013,0.549620986,255400000
20-June-2018,0.54973799,0.550553977,0.525858998,0.539286017,256920000
